,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,country_cyrilic
0,Tokyo,Tokyo,35.685,139.7514,Japan,JP,JPN,Tōkyō,primary,35676000.0,Јапонија
1,New York,New York,40.6943,-73.9249,United States,US,USA,New York,,19354922.0,Соединети Американски Држави
2,Mexico City,Mexico City,19.4424,-99.131,Mexico,MX,MEX,Ciudad de México,primary,19028000.0,Мексико
3,Mumbai,Mumbai,19.017,72.857,India,IN,IND,Mahārāshtra,admin,18978000.0,Индија
4,São Paulo,Sao Paulo,-23.5587,-46.625,Brazil,BR,BRA,São Paulo,admin,18845000.0,Бразил
5,Delhi,Delhi,28.67,77.23,India,IN,IND,Delhi,admin,15926000.0,Индија
6,Shanghai,Shanghai,31.2165,121.4365,China,CN,CHN,Shanghai,admin,14987000.0,Кина
7,Kolkata,Kolkata,22.495,88.3247,India,IN,IND,West Bengal,admin,14787000.0,Индија
8,Los Angeles,Los Angeles,34.1139,-118.4068,United States,US,USA,California,,12815475.0,Соединети Американски Држави
9,Dhaka,Dhaka,23.7231,90.4086,Bangladesh,BD,BGD,Dhaka,primary,12797394.0,Бангладеш
10,Buenos Aires,Buenos Aires,-34.6025,-58.3975,Argentina,AR,ARG,"Buenos Aires, Ciudad Autónoma de",primary,12795000.0,Аргентина
11,Karachi,Karachi,24.87,66.99,Pakistan,PK,PAK,Sindh,admin,12130000.0,Пакистан
12,Cairo,Cairo,30.05,31.25,Egypt,EG,EGY,Al Qāhirah,primary,11893000.0,Египет
13,Rio de Janeiro,Rio de Janeiro,-22.925,-43.225,Brazil,BR,BRA,Rio de Janeiro,admin,11748000.0,Бразил
14,Ōsaka,Osaka,34.75,135.4601,Japan,JP,JPN,Ōsaka,admin,11294000.0,Јапонија
15,Beijing,Beijing,39.9289,116.3883,China,CN,CHN,Beijing,primary,11106000.0,Кина
16,Manila,Manila,14.6042,120.9822,Philippines,PH,PHL,Manila,primary,11100000.0,Филипини
17,Moscow,Moscow,55.7522,37.6155,Russia,RU,RUS,Moskva,primary,10452000.0,Русија
18,Istanbul,Istanbul,41.105,29.01,Turkey,TR,TUR,İstanbul,admin,10061000.0,Турција
19,Paris,Paris,48.8667,2.3333,France,FR,FRA,Île-de-France,primary,9904000.0,Франција
20,Seoul,Seoul,37.5663,126.9997,"Korea, South",KR,KOR,Seoul,primary,9796000.0,Јужна Кореја
21,Lagos,Lagos,6.4433,3.3915,Nigeria,NG,NGA,Lagos,minor,9466000.0,Нигерија
22,Jakarta,Jakarta,-6.1744,106.8294,Indonesia,ID,IDN,Jakarta,primary,9125000.0,Индонезија
23,Guangzhou,Guangzhou,23.145,113.325,China,CN,CHN,Guangdong,admin,8829000.0,Кина
